Case,Date,Year,Type,Area,Location,Activity,Sex ,Age,Fatal,Time,Species 
1928.01.27,27/01/2028,1928,Unprovoked,Torres Strait,Deliverance Island,Retrieving meat from a cage in the water,M,78,Y,unknown,unknown
1927.11.03,3/11/2027,1927,Sea Disaster,New South Wales,"Bradleys Head, Sydney ",The steamer Tahiti collided with the ferry Greycliffe,unknown,unknown,Y,unknown,unknown
1927.10.12,12/10/2027,1927,Unprovoked,New South Wales,"Kiah Creek, Eden",Riding horseback across the creek,M,unknown,N,unknown,unknown
1927.07.03,3/07/2027,1927,Boating,New South Wales,Bellambi Reef,unknown,unknown,unknown,N,unknown,unknown
1927.05.09.R,9/05/1927,1927,Unprovoked,Queensland,Off Cairns,Walking,M,unknown,Y,unknown,unknown
1927.04.10,20/04/2027,1927,Unprovoked,Torres Strait,Near Thursday Island,Diving,M,unknown,N,unknown,unknown
1927.04.08,8/04/2027,1927,Unprovoked,Queensland,Near Thursday Island,Pearl diving,M,unknown,N,unknown,unknown
1927.03.01,11/03/2027,1927,Unprovoked,New South Wales,Mereweather Beach,Body surfing / treading water,M,17,N,15h00,Grey nurse shark?
1927.02.09,9/02/2027,1927,Unprovoked,Queensland,Brisbane River,Attempting to rescue drowning man,M,unknown,N,unknown,unknown
1927.01.03,3/01/2027,1927,Unprovoked,New South Wales,"Grey’s Point, Port Hacking",Swimming,M,15,Y,11h30,3.7 m [12'] shark
1927.00.00.b,10/04/1905,1927,Unprovoked,New South Wales,15 miles up the Cataract River,Swimming,M,10,Y,unknown,unknown
1927.00.00.a,10/04/1905,1927,Unprovoked,Torres Strait,Thursday Island,Pearl diving,M,unknown,N,unknown,unknown
1926.12.02.R,2/12/1926,1926,Unprovoked,Torres Strait,Palm Island,Diving for trochus,M,unknown,Y,unknown,unknown
1926.11.17,17/11/2026,1926,Unprovoked,Torres Strait,Near Thursday Island,Diving,M,unknown,N,unknown,unknown
1926.10.23.b,23/10/2026,1926,Unprovoked,New South Wales,Clarence River,Bathing,M,17,N,Afternoon,"Grey nurse shark, 4'"
1926.03.17,17/03/2026,1926,Unprovoked,South Australia,"West Beach, Brighton",Swimming ,F,unknown,Y,15h45,"White shark, 3.7 m [12']  "
1926.01.00,26/01/2020,1926,Unprovoked,Victoria,unknown,unknown,M,unknown,N,unknown,unknown
1925.11.22,22/11/2025,1925,Unprovoked,Western Australia,Cottesloe Beach,Floating on his back,M,55,Y,15h15,"Tiger shark, 4 m [13'] female"
1925.06.15,15/06/2025,1925,unknown,Western Australia,"Princess Royal Harbor, near King George’s Sound",unknown,unknown,unknown,unknown,unknown,unknown
1925.03.27,27/03/1925,1925,Unprovoked,New South Wales,Coogee,Bathing in waist-deep water,M,16,N,17h00,Said to be a “small shark”
1925.03.12,12/03/2025,1925,Unprovoked,New South Wales,Newcastle Beach,Swimming,M,16,Y,15h15,unknown
1924.10.18,18/10/2024,1924,Unprovoked,Victoria,Port Melbourne,Bathing,M,unknown,N,unknown,10' shark
1924.04.25,25/04/2024,1924,Unprovoked,New South Wales,Kiama,"Fishing, fell in water & swimming strongly to shore",M,20,Y,Afternoon,unknown
1924.04.20,20/04/2024,1924,unknown,Western Australia,Fremantle,Swimming ,M,unknown,N,unknown,unknown
1924.02.13,13/02/2024,1924,Unprovoked,New South Wales,Bronte,Bathing in 5' of water,F,30,N,19h00,unknown
1924.02.08,8/02/2024,1924,unknown,Queensland,Currumbin,Bathing,M,unknown,unknown,16h00,unknown
1924.01.19,9/01/2024,1924,Unprovoked,New South Wales,"Near Asbestos Works, Camellia, Parramatta River",Had just dived into water & was swimming,M,16,Y,16h00,3 m [10'] shark
1923.12.12,12/12/2023,1923,Unprovoked,New South Wales,"Murwillumbah, Tweed River",Swimming,M,unknown,N,unknown,unknown
1923.12.02,2/12/2023,1923,Unprovoked,New South Wales,"Urunga, Belliger Heads","Fishing, standing in waist-deep water",M,unknown,Y,unknown,unknown
1923.11.23,23/11/2023,1923,Unprovoked,Western Australia,"Condon, 88 km NE of Port Hedland",Dry shelling,M,unknown,Y,unknown,unknown
1923.11.02,2/11/2023,1923,unknown,New South Wales,Bellinger Head,Fishing,M,unknown,Y,unknown,Shark involvement suspected but not confirmed
1923.10.20,20/10/2023,1923,unknown,New South Wales,"Botany Bay, Sydney",Sailing,M,unknown,Y,unknown,unknown
1923.10.17,17/10/2023,1923,Boating,New South Wales," Black Head, south of Taree",Fishing,unknown,unknown,N,unknown,"""a very large shark"""
1923.10.16,16/10/2023,1923,Unprovoked,Torres Strait,Near Thursday Island,Pearl diving,M,unknown,N,unknown,unknown
1923.07.02.R,2/07/1923,1923,Unprovoked,Queensland,Great Barrier Reef,Diving for pearl,M,unknown,N,unknown,unknown
1923.06.16,16/06/2023,1923,Boating,New South Wales,Bellambi Reef,"After rowing skiff was holed by shark, he was attempting to swim ashore",M,unknown,Y,unknown,unknown
1923.05.23.R,23/05/1923,1923,Unprovoked,Western Australia,"Southgates, near Geraldton",Wading,M,unknown,N,unknown,unknown
1923.05.22,22/05/2023,1923,Unprovoked,Queensland,Great Barrier Reef,Diving?,M,unknown,Y,Midday,unknown
1923.03.18,18/03/2023,1923,Unprovoked,Queensland,"Ross River, Townsville",Diving,M,unknown,N,unknown,unknown
1923.01.27.b,27/01/2023,1923,unknown,Western Australia,Bunbury,unknown,M,unknown,unknown,unknown,Shark involvement prior to death was not confirmed
1923.01.27.a,27/01/2023,1923,Unprovoked,Western Australia,"In Swan River at Freshwater Bay, Claremont, 5 miles from river mouth",Swimming,M,13,Y,unknown,unknown
1922.12.05,5/12/2022,1922,Unprovoked,Queensland,Pialba Beach near Maryborough,Bathing in 3' to 4' of water,M,19,Y,09h15,"2.7 m [9'] ""blue"" shark"
1922.10.29,29/10/2022,1922,unknown,New South Wales,"Botany Bay, Sydney",Sailing,M,unknown,unknown,unknown,unknown
1922.04.26,26/04/2022,1922,Unprovoked,New South Wales,Hawkesbury River,Swimming,M,unknown,Y,unknown,unknown
1922.03.02,2/03/2022,1922,Unprovoked,New South Wales,Coogee,Bathing in knee-deep water,M,21,Y,11h00,"White shark, 2.4 m [8'] "
1922.02.22.R,2/02/1922,1922,unknown,New South Wales,"Bilgola Beach, Sydney",Swimming,M,unknown,Y,unknown,unknown
1922.02.04,4/02/2022,1922,Unprovoked,New South Wales,Coogee ,Swimming,M,18,Y,15h30,White shark
1922.01.15,15/01/2022,1922,Unprovoked,Queensland,"Ross River, Townsville",Swimming ,M,54,Y,17h30,unknown
1922.01.13,13/01/2022,1922,Unprovoked,New South Wales,"Stockton Beach, Newcastle",Standing,M,unknown,N,18h00,Grey nurse shark?
1922.01.04,4/01/2022,1922,Unprovoked,New South Wales,"Stockton Beach, Newcastle",Surfing,M,26,Y,Evening,unknown
1921.12.11,11/12/2021,1921,Unprovoked,Queensland,Fitzroy River at  Rockhampton,Swimming,M,20,N,unknown,unknown
1921.11.27.b,27/11/2021,1921,Unprovoked,Queensland,"Gay’s Corner, Bulimba Reach of Brisbane River",Fell from his father's back into the water,M,8,Y,Morning,unknown
1921.11.27.a,27/11/2021,1921,Unprovoked,Queensland,"Gay’s Corner, Bulimba Reach of Brisbane River","Wading to dinghy, carrying his son",M,40,N,Morning,unknown
1921.10.12,12/10/2021,1921,Unprovoked,Queensland,Off Hinchinbrook Island,Diving for beche-de-mer ,M,unknown,N,unknown,unknown
1921.10.04,4/10/2021,1921,Unprovoked,Queensland,Barrier Reef,Diving for beche-de-mer,M,22,Y,Afternoon,unknown
1921.08.29.R,29/08/1929,1921,Unprovoked,Torres Strait,unknown,unknown,M,unknown,N,unknown,unknown
1920.11.29,29/11/2020,1920,Unprovoked,Western Australia,Bunbury,Wading,M,unknown,N,unknown,4' to 5' shark
1920.11.22,22/11/2020,1920,Unprovoked,Western Australia,Cottesloe Beach,Standing,M,unknown,N,unknown,"15* to 24"" dog shark"
1920.07.05.R,6/07/1920,1920,Unprovoked,Torres Strait,200 miles from MacKay,Diving for trochus shell,M,unknown,N,unknown,unknown
1920.03.08,8/03/2020,1920,Unprovoked,Queensland,"Between Bay Rock & Magnetic Island, Cleveland Bay","Boat capsized, swimming to shore",M,20,N,unknown,unknown
1920.01.24.R.b,24/01/1920,1920,Unprovoked,Torres Strait,unknown,Diving,M,unknown,N,unknown,unknown
1920.01.24.R.a,24/01/1920,1920,Unprovoked,Torres Strait,Arlington Reef,Free diving,M,unknown,Y,unknown,unknown
1920.01.15,15/01/2020,1920,Unprovoked,New South Wales,"Throsby Creek, Newcastle",Swimming ,M,12,Y,10h00,unknown
1919.12.30.R,30/12/1919,1919,Unprovoked,Queensland,Brible Island,Swimming,M,29,N,unknown,unknown
1919.12.07,7/12/2019,1919,Unprovoked,New South Wales,"Pelican Island, Macleay River",Swimming,M,47,Y,05h30,unknown
1919.11.18,18/11/2019,1919,Unprovoked,Northern Territory,Darwin,Sitting in a boat,M,unknown,N,unknown,unknown
1919.03.16,16/03/2019,1919,unknown,New South Wales,Sydney Harbor,Cutter capsized,M,unknown,unknown,Late afternon,unknown
1919.01.17,17/01/2019,1919,Unprovoked,New South Wales,Newcastle Beach,Swimming,M,unknown,N,17h15,3.7 m to 4.3 m [12' to 14']  shark
1919.01.09,9/01/2019,1919,Unprovoked,New South Wales,"Sirius Cove, Sydney Harbor",Wading,M,13,Y,07h30,12' shark
1919.01.05,5/01/2019,1919,Unprovoked,Queensland,"Ross River, Townsville",Wading (shrimping),M,38,Y,10h00,unknown
1918.09.19,19/09/2018,1918,Unprovoked,Queensland,Townsville,Bathing,M,22,Y,unknown,unknown
1918.03.22,22/03/2018,1918,Unprovoked,New South Wales,Newcastle,Surfing,M,unknown,N,18h00,12' shark
1918.00.00,1/04/1905,1918,Unprovoked,Queensland,Near Cairns,Diving,M,unknown,N,unknown,unknown
1917.12.15,15/12/2017,1917,Unprovoked,Western Australia,Port Hedland,Swimming,M,unknown,N,05h00,unknown
1916.12.30,30/12/2016,1916,Unprovoked,Queensland,"Yeppoon, near Ross Creek",Bathing,M,25,N,A.M.,unknown
1916.12.08.b,8/12/2016,1916,Unprovoked,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",Taking wife to beach & about 1 m from the shore,M,41,Y,09h00,unknown
1916.12.08.a,8/12/2016,1916,Unprovoked,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",Swimming 10 m from shore,F,unknown,N,08h58,unknown
1916.11.10,10/11/2016,1916,Unprovoked,Queensland,Townsville,Swimming,M,unknown,Y,06h00,unknown
1916.11.09,9/11/2016,1916,Unprovoked,Queensland,"Kissing Point Camp, Townsville",Bathing,M,27,Y,Evening,unknown
1916.04.25.R,25/04/1916,1916,Unprovoked,New South Wales,Manley Beach,Swimming,M,unknown,Y,unknown,unknown
1916.04.03,3/04/2016,1916,Unprovoked,Victoria,Carrum,Clinging to overturned rowing boat,M,17,Y,unknown,unknown
1916.03.19,19/03/2016,1916,Unprovoked,New South Wales,Curl Curl,Bathing,M,unknown,N,15h30,unknown
1915.12.09.R,9/12/1915,1915,Unprovoked,Torres Strait, Thursday Island,Diving,M,unknown,N,unknown,unknown
1915.11.10,10/11/2015,1915,Unprovoked,Queensland,"Cabbage Tree Creek, Sandgate",Bathing,M,10,N,unknown,unknown
1915.11.08,8/11/2014,1915,Unprovoked,New South Wales,Manly,Bathing,M,unknown,N,unknown,unknown
1915.03.29,29/03/2015,1915,Unprovoked,Torres Strait,Near Thursday Island,Skin diving for trepang but at surface next to the boat,M,unknown,N,unknown,3 m [10'] shark
1915.02.06,6/02/2015,1915,Unprovoked,Queensland,Wynnum-Manley,Swimming,M,unknown,N,unknown,unknown
1915.01.01,1/01/2015,1915,Unprovoked,New South Wales,"Sirius Cove, Sydney Harbor",Bathing,M,17,Y,unknown,unknown
1914.12.04.R,4/12/1914,1914,Unprovoked,Queensland,Magnetic Island,Swimming,M,unknown,N,unknown,unknown
1914.06.10,10/06/2014,1914,Unprovoked,Victoria,Sandringham,Bathing,M,43,Y,Afternoon,unknown
1914.02.09.R,9/02/1914,1914,Unprovoked,South Australia,Marion Bay,Wading,M,unknown,N,unknown,said to involve a tiger shark
1914.02.03,3/02/1914,1914,Unprovoked,New South Wales,Paramatta River,Canoeing,M,unknown,N,unknown,unknown
1914.01.17.R,17/01/1914,1914,Unprovoked,Queensland,Brisbane,Wading,F,unknown,N,unknown,unknown
1913.11.21,21/11/2013,1913,Unprovoked,Queensland,"Sandgate Jetty, Brisbane",Swimming,M,12,N,unknown,unknown
1913.05.02,2/05/2013,1913,Provoked,New South Wales,unknown,Hauling in net,M,unknown,N,unknown,unknown
1913.01.00,13/01/2020,1913,Unprovoked,Torres Strait,Thursday Island,Diving,M,unknown,N,unknown,Tiger shark 
1913.00.00.a,27/03/1905,1913,Unprovoked,Victoria,Brighton,unknown,M,unknown,N,unknown,unknown
1912.02.22,22/02/2012,1912,Provoked,Western Australia,Bunbury,Hard hat diving,M,unknown,N,unknown,unknown
1912.02.19,19/02/2012,1912,Unprovoked,New South Wales,Coogee,Swimming,M,18,N,16h00,unknown
1912.01.26,26/01/2012,1912,Unprovoked,New South Wales,"Fig Tree Bridge, Lane Cove River, near Sydney ",Swimming,M,21,Y,15h00,"2.8 m [9'3""] whaler shark captured 3 days later with his remains in its gut"
1912.01.06,6/01/2012,1912,Unprovoked,New South Wales,Sydney Harbor,unknown,M,unknown,N,unknown,"C. macrurus captured 48 hours after attack with tissue removed from man in its gut; species identified by G.P. Whitley,  reported as C. obscurus by  R. Steel"
1912.01.01,1/01/2012,1912,Unprovoked,Queensland,Ross Creek,Bathing,M,unknown,Y,Morning,unknown
1911.10.25,25/10/2011,1911,Unprovoked,Queensland,Great Barrier Reef,Diving,M,23,N,Evening,unknown
1911.03.29.R,29/03/1911,1911,Unprovoked,Torres Strait,Thursday Island,Swimming,M,unknown,Y,unknown,unknown
1911.01.04,4/01/2011,1911,Sea Disaster,Western Australia,Off Legendre Island,3-masted steel barque Glenbank foundered during a cyclone,M,22,N,unknown,unknown
1910.12.23.R,23/12/1910,1910,Sea Disaster,Western Australia,Fremantle,Shipwrecked pearling schooner,M,unknown,Y,unknown,unknown
1910.11.24,24/11/2010,1910,Unprovoked,Queensland,Mackay,Bathing,M,unknown,N,unknown,Said to involve  9' blue shark
1910.02.16,16/02/1910,1910,Unprovoked,Western Australia,Bunbury,Surf bathing,M,unknown,N,Night,5.5' to 6' shark
1910.01.26,26/01/2010,1910,Unprovoked,New South Wales,Newcastle Harbor,unknown,M,unknown,Y,unknown,unknown
1909.12.15.R,15/12/1909,1909,Unprovoked,New South Wales,20 miles off Sydney,Fell overboard,M,unknown,Y,unknown,unknown
1909.12.05,5/12/2009,1909,Provoked,New South Wales,Bondi,Fishing,M,unknown,N,unknown,7' shark
1909.06.18,18/06/2009,1909,Sea Disaster,Queensland,"Middleton Reef, 300 nm from Brisbane","1446-ton Norwegian barque Errol, bound from Peru to Newcastle with 22 on board wrecked. Survivors shelterd on the wreck of the Annasona. Subsequently the Master, his wife & 4 children perished along with several crew. Survivors (5) were rescued 7/12/1909",M,unknown,Y,unknown,unknown
1909.00.00,23/03/1905,1909,Unprovoked,New South Wales,Woy Woy,unknown,unknown,unknown,N ,unknown,unknown
1908.09.21,21/09/1908,1908,Unprovoked,Torres Strait,Thursday Island,Fell from the jetty,M,unknown,Y,unknown,Remains recovered from 3 sharks
1907.12.21,21/12/2007,1907,Unprovoked,New South Wales,"Middle Harbour, Sugarloaf Bay, Sydney (Estuary)",Bathing,M,unknown,Y,unknown,Bull shark
1907.10.18.R,18/10/1907,1907,Unprovoked,Torres Strait,Near Thursday Island,Bathing,M,unknown,Y,unknown,unknown
1907.10.14,14/10/2007,1907,Unprovoked,New South Wales,"Merewether Beach, near Newcastle",Bathing,M,unknown,N,11h00,unknown
1907.07.04.R,4/07/1907,1907,unknown,Queensland,Karra Garra,unknown,M,unknown,Y,unknown,unknown
1907.02.03,3/02/2007,1907,Unprovoked,Queensland,Ross Creek,Bathing,M,18,Y,Morning,unknown
1906.09.05.R,5/09/1906,1906,Unprovoked,Torres Strait,Mabiuag,Swimming,M,unknown,Y,unknown,unknown
1906.04.16,16/04/2006,1906,Provoked,Victoria,Western Port Bay,Shooting sharks ,M,unknown,N,unknown,13' shark
1906.04.14,14/04/2006,1906,Unprovoked,Queensland,Lizard Island,Diving for beche-de-mer ,M,17,Y,unknown,unknown
1906.04.02.R,2/04/1906,1906,unknown,New South Wales,Moodie Beach,unknown,M,18,Y,unknown,unknown
1906.01.28,28/01/2006,1906,Unprovoked,New South Wales,Georges River,Bathing,M,32,Y,14h10,unknown
1905.12.29,29/12/2005,1905,unknown,Western Australia,Geraldton,Bathing,M,unknown,N,unknown,Shark involvement not confirmed
1905.09.29,29/09/2005,1905,Unprovoked,New South Wales,"Waverly, Sydney",Swimming,M,unknown,Y,unknown,unknown
1905.03.26,26/03/2005,1905,Unprovoked,New South Wales,Lismore,Bathing,M,40,N,Morning,5' shark
1905.03.25,25/03/2005,1905,unknown,Tasmania,Bridport,Bathing,unknown,unknown,Y,unknown,unknown
1905.02.10,10/02/2005,1905,unknown,Victoria,Elwood,Bathing,M,23,Y,unknown,unknown
1905.01.01,1/01/2005,1905,unknown,Victoria,Elwood,Bathing,M,39,Y,unknown,unknown
1904.02.07,7/02/2004,1904,Unprovoked,Queensland,Brisbane,Swimming after his hat,M,unknown,Y,unknown,unknown
1903.06.21,21/06/2003,1903,Unprovoked,New South Wales,Georges River,Swimming,M,unknown,Y,unknown,unknown
1903.03.20.R,20/03/1903,1903,Unprovoked,New South Wales,Sydney,Suicide,M,unknown,Y,unknown,unknown
1903.03.12,12/03/2003,1903,Unprovoked,Queensland,Logan River,Swimming,M,unknown,Y,unknown,unknown
1903.01.10,10/01/1903,1903,Unprovoked,New South Wales,"Lane Cove River, Sydney Harbor (Estuary)",unknown,M,unknown,Y,unknown,Bull shark
1902.11.10,10/11/2002,1902,Unprovoked,New South Wales,"Middle Harbour, Sydney ",Swimming,M,17,Y,Afternoon,unknown
1902.01.25.R,25/01/1902,1902,Unprovoked,New South Wales,Kerosene Bay,Dangling feet in the water,M,unknown,Y,unknown,unknown
1902.01.19,19/01/2002,1902,Unprovoked,Queensland,Brisbane,Swimming,M,16,N,12h00,unknown
1901.12.01,1/12/2001,1901,Unprovoked,Queensland,Brisbane,Bathing,M,10,N,unknown,unknown
1901.01.30,30/01/2001,1901,Unprovoked,Queensland,Brisbane,Bathing,M,unknown,Y,unknown,unknown
1900.12.27,27/12/2000,1900,Unprovoked,New South Wales,"Middle Harbour, Sydney ",Bathing,M,unknown,Y,unknown,unknown
1900.09.15,15/09/2000,1900,Unprovoked,Queensland,Townsville,Swimming,M,unknown,N,unknown,unknown
1900.01.28,28/01/1900,1900,Unprovoked,New South Wales,"Lane Cove River, Sydney Harbor (Estuary)","Standing, gathering oysters",M,unknown,N,12h00,unknown
